PARADA,NOMBRE,COMENTARIO,TIPO,ZONA,LATITUD,LONGITUD,MUNICIPIO,CODIGO_BARRIO,ID_LINEA,SENTIDO,FECHA
2617,AV.STA.EUGENIA-VIRGEN DE LAS VIÑAS,"Av. Santa Eugenia, 58",EXTERIOR,A,40.382410480154,-3.608245205047325,MADRID,123,509,IDA,20240117
2617,AV.STA.EUGENIA-VIRGEN DE LAS VIÑAS,"Av. Santa Eugenia, 58",EXTERIOR,A,40.382410480154,-3.608245205047325,MADRID,123,63,VUELTA,20240117
2618,AV.STA.EUGENIA-U.V.A.VALLECAS,"Av. Santa Eugenia, 46",EXTERIOR,A,40.384062994884665,-3.609226134973017,MADRID,123,509,VUELTA,20240117
2618,AV.STA.EUGENIA-U.V.A.VALLECAS,"Av. Santa Eugenia, 46",EXTERIOR,A,40.384062994884665,-3.609226134973017,MADRID,123,63,VUELTA,20240117
2618,AV.STA.EUGENIA-U.V.A.VALLECAS,"Av. Santa Eugenia, 46",EXTERIOR,A,40.384062994884665,-3.609226134973017,MADRID,123,145,IDA,20240117
2619,AV.STA.EUGENIA Nº 13,"Av. Santa Eugenia, 13",EXTERIOR,A,40.38732513379455,-3.609067017554567,MADRID,123,63,IDA,20240117
2619,AV.STA.EUGENIA Nº 13,"Av. Santa Eugenia, 13",EXTERIOR,A,40.38732513379455,-3.609067017554567,MADRID,123,58,IDA,20240117
2620,CASTRILLO DE AZA,"Castrillo de Aza, 14",EXTERIOR,A,40.38662051345942,-3.60771755223061,MADRID,123,509,IDA,20240117
2620,CASTRILLO DE AZA,"Castrillo de Aza, 14",EXTERIOR,A,40.38662051345942,-3.60771755223061,MADRID,123,63,VUELTA,20240117
2621,CASTRILLO AZA-AV.STA.EUGENIA,"Castrillo de Aza, 32",EXTERIOR,A,40.38536615031147,-3.609826951974499,MADRID,123,63,VUELTA,20240117
2621,CASTRILLO AZA-AV.STA.EUGENIA,"Castrillo de Aza, 32",EXTERIOR,A,40.38536615031147,-3.609826951974499,MADRID,123,509,IDA,20240117
2622,AV.MEDITERRANEO-PUENTELARRA,Av Sta Eugenia  esquina  Puentelarra,EXTERIOR,A,40.38657504951407,-3.604359350257088,MADRID,121,63,VUELTA,20240117
2622,AV.MEDITERRANEO-PUENTELARRA,Av Sta Eugenia  esquina  Puentelarra,EXTERIOR,A,40.38657504951407,-3.604359350257088,MADRID,121,145,IDA,20240117
2622,AV.MEDITERRANEO-PUENTELARRA,Av Sta Eugenia  esquina  Puentelarra,EXTERIOR,A,40.38657504951407,-3.604359350257088,MADRID,121,509,IDA,20240117
2623,AV.STA.EUGENIA-CASTRILLO AZA,Av Sta Eugenia  frente Castrillo de Aza,EXTERIOR,A,40.38760605810038,-3.605322900688299,MADRID,121,63,VUELTA,20240117
2623,AV.STA.EUGENIA-CASTRILLO AZA,Av Sta Eugenia  frente Castrillo de Aza,EXTERIOR,A,40.38760605810038,-3.605322900688299,MADRID,121,145,VUELTA,20240117
2623,AV.STA.EUGENIA-CASTRILLO AZA,Av Sta Eugenia  frente Castrillo de Aza,EXTERIOR,A,40.38760605810038,-3.605322900688299,MADRID,121,509,VUELTA,20240117
2626,VILLAMANIN-Cº CAMPAMENTO (BATAN),Villamanín  con Cº del Campamento,EXTERIOR,A,40.40931733414977,-3.751317894220586,MADRID,70,65,IDA,20240117
2627,VILLAMANIN-Cº CAMPAMENTO (BATAN),Villamanín frente Nº31 con Campamento,EXTERIOR,A,40.40912639637669,-3.7515868397685472,MADRID,70,33,VUELTA,20240117
2627,VILLAMANIN-Cº CAMPAMENTO (BATAN),Villamanín frente Nº31 con Campamento,EXTERIOR,A,40.40912639637669,-3.7515868397685472,MADRID,70,65,VUELTA,20240117
2628,Cº CAMPAMENTO-VILLAGARCIA,Cº del Campamento frente Nº20,EXTERIOR,A,40.40816593921034,-3.753815388310672,MADRID,70,65,IDA,20240117
2628,Cº CAMPAMENTO-VILLAGARCIA,Cº del Campamento frente Nº20,EXTERIOR,A,40.40816593921034,-3.753815388310672,MADRID,70,55,VUELTA,20240117
2629,Cº CAMPAMENTO-VILLAGARCIA,CºCampamento frente Nº20 de Villagarcía,EXTERIOR,A,40.40804859971356,-3.75384943536144,MADRID,70,55,IDA,20240117
2629,Cº CAMPAMENTO-VILLAGARCIA,CºCampamento frente Nº20 de Villagarcía,EXTERIOR,A,40.40804859971356,-3.75384943536144,MADRID,70,65,VUELTA,20240117
2630,Cº CAMPAMENTO-SAN JUAN DE MATA,CºCampamento frente Nº26 de S Juan Mata,EXTERIOR,A,40.40716693951994,-3.756420570600457,MADRID,70,65,IDA,20240117
2630,Cº CAMPAMENTO-SAN JUAN DE MATA,CºCampamento frente Nº26 de S Juan Mata,EXTERIOR,A,40.40716693951994,-3.756420570600457,MADRID,70,55,VUELTA,20240117
2631,Cº CAMPAMENTO-SAN JUAN DE MATA,San Juan Mata frente Nº24,EXTERIOR,A,40.4071590874445,-3.756243703785108,MADRID,70,65,VUELTA,20240117
2631,Cº CAMPAMENTO-SAN JUAN DE MATA,San Juan Mata frente Nº24,EXTERIOR,A,40.4071590874445,-3.756243703785108,MADRID,70,55,IDA,20240117
2632,Cº. CAMPAMENTO-SAN ROBERTO,"Cº del Campamento frente  San Roberto,7",EXTERIOR,A,40.40591843126324,-3.758598611378471,MADRID,70,55,VUELTA,20240117
2632,Cº. CAMPAMENTO-SAN ROBERTO,"Cº del Campamento frente  San Roberto,7",EXTERIOR,A,40.40591843126324,-3.758598611378471,MADRID,70,65,IDA,20240117
2633,Cº CAMPAMENTO-SAN ROBERTO,Cº Campamento frente Nº7 de San Roberto,EXTERIOR,A,40.40586484487003,-3.758527299546161,MADRID,70,55,IDA,20240117
2633,Cº CAMPAMENTO-SAN ROBERTO,Cº Campamento frente Nº7 de San Roberto,EXTERIOR,A,40.40586484487003,-3.758527299546161,MADRID,70,65,VUELTA,20240117
